time,realization,experimentVersionNumber,lat,lon,sd
1982-10-01,0,0001,50.1,12.34,1.6212463e-05
1982-11-01,0,0001,50.1,12.34,0.00053310394
1982-12-01,0,0001,50.1,12.34,0.0062294006
1983-01-01,0,0001,50.1,12.34,0.0063056946
1983-02-01,0,0001,50.1,12.34,0.028058052
1983-03-01,0,0001,50.1,12.34,0.0039892197
1983-04-01,0,0001,50.1,12.34,0.00049495697
1983-05-01,0,0001,50.1,12.34,-7.345365e-25
1983-06-01,0,0001,50.1,12.34,-7.345365e-25
1983-07-01,0,0001,50.1,12.34,-7.345365e-25
1983-08-01,0,0001,50.1,12.34,-7.345365e-25
1983-09-01,0,0001,50.1,12.34,-7.345365e-25
1983-10-01,0,0001,50.1,12.34,9.536743e-07
1983-11-01,0,0001,50.1,12.34,0.0018997192
1983-12-01,0,0001,50.1,12.34,0.007950783
1984-01-01,0,0001,50.1,12.34,0.020093918
1984-02-01,0,0001,50.1,12.34,0.046669006
1984-03-01,0,0001,50.1,12.34,0.030975342
1984-04-01,0,0001,50.1,12.34,0.0020370483
1984-05-01,0,0001,50.1,12.34,9.536743e-06
1984-06-01,0,0001,50.1,12.34,-7.345365e-25
1984-07-01,0,0001,50.1,12.34,-7.345365e-25
1984-08-01,0,0001,50.1,12.34,-7.345365e-25
1984-09-01,0,0001,50.1,12.34,-7.345365e-25
1984-10-01,0,0001,50.1,12.34,-7.345365e-25
1984-11-01,0,0001,50.1,12.34,0.00018596649
1984-12-01,0,0001,50.1,12.34,0.0035514832
1985-01-01,0,0001,50.1,12.34,0.021133423
1985-02-01,0,0001,50.1,12.34,0.013593674
1985-03-01,0,0001,50.1,12.34,0.0055150986
1985-04-01,0,0001,50.1,12.34,0.00094890594
1985-05-01,0,0001,50.1,12.34,0.000289917
1985-06-01,0,0001,50.1,12.34,-7.345365e-25
1985-07-01,0,0001,50.1,12.34,-7.345365e-25
1985-08-01,0,0001,50.1,12.34,-7.345365e-25
1985-09-01,0,0001,50.1,12.34,-7.345365e-25
1985-10-01,0,0001,50.1,12.34,7.6293945e-06
1985-11-01,0,0001,50.1,12.34,0.007815361
1985-12-01,0,0001,50.1,12.34,0.0051879883
1986-01-01,0,0001,50.1,12.34,0.037656784
1986-02-01,0,0001,50.1,12.34,0.05131626
1986-03-01,0,0001,50.1,12.34,0.018614769
1986-04-01,0,0001,50.1,12.34,0.0013723373
1986-05-01,0,0001,50.1,12.34,-7.345365e-25
1986-06-01,0,0001,50.1,12.34,-7.345365e-25
1986-07-01,0,0001,50.1,12.34,-7.345365e-25
1986-08-01,0,0001,50.1,12.34,-7.345365e-25
1986-09-01,0,0001,50.1,12.34,-7.345365e-25
1986-10-01,0,0001,50.1,12.34,-7.345365e-25
1986-11-01,0,0001,50.1,12.34,6.67572e-06
1986-12-01,0,0001,50.1,12.34,0.010601044
1987-01-01,0,0001,50.1,12.34,0.0438776
1987-02-01,0,0001,50.1,12.34,0.055609703
1987-03-01,0,0001,50.1,12.34,0.05804348
1987-04-01,0,0001,50.1,12.34,0.0005283356
1987-05-01,0,0001,50.1,12.34,0.0001411438
1987-06-01,0,0001,50.1,12.34,-7.345365e-25
1987-07-01,0,0001,50.1,12.34,-7.345365e-25
1987-08-01,0,0001,50.1,12.34,-7.345365e-25
1987-09-01,0,0001,50.1,12.34,-7.345365e-25
